 Hello, jx, ith, ith_tot, ith_max =         247          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         248           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         249          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         250           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         251          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         252          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         253          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         256           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         257           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         254           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         259          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         260           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         261           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         258          15          20          20
 Hello, jx, ith, ith_tot, ith_max =         255           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         262           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         263          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         264           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         265          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         266          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         270          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         267           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         268          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         271           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         269          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         272           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         273           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         274           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         276          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         277          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         275          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         278           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         279          15          20          20
 Hello, jx, ith, ith_tot, ith_max =         280           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         281           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         282           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         283          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         284           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         285          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         286          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         287           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         291          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         292          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         290           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         289           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         293          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         288           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         294           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         295          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         296           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         297          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         298          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         299          15          20          20
 Hello, jx, ith, ith_tot, ith_max =         300           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         301           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         302           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         303          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         304           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         305          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         306           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         307           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         308           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         309          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         310           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         311          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         312          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         313           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         314          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         318          15          20          20
